nr,datetime
0,2024-04-05 11:14:37.311916000
1,2024-04-05 11:14:37.378582800
2,2024-04-05 11:14:37.445249600
3,2024-04-05 11:14:37.511916400
4,2024-04-05 11:14:37.578583200
5,2024-04-05 11:14:37.645250000
6,2024-04-05 11:14:37.711916800
7,2024-04-05 11:14:37.778583600
8,2024-04-05 11:14:37.845250400
9,2024-04-05 11:14:37.911917200
10,2024-04-05 11:14:37.978584000
11,2024-04-05 11:14:38.045250800
12,2024-04-05 11:14:38.111917600
13,2024-04-05 11:14:38.178584400
14,2024-04-05 11:14:38.245251200
15,2024-04-05 11:14:38.311918000
16,2024-04-05 11:14:38.378584800
17,2024-04-05 11:14:38.445251600
18,2024-04-05 11:14:38.511918400
19,2024-04-05 11:14:38.578585200
20,2024-04-05 11:14:38.645252000
21,2024-04-05 11:14:38.711918800
22,2024-04-05 11:14:38.778585600
23,2024-04-05 11:14:38.845252400
24,2024-04-05 11:14:38.911919200
25,2024-04-05 11:14:38.978586000
26,2024-04-05 11:14:39.045252800
27,2024-04-05 11:14:39.111919600
28,2024-04-05 11:14:39.178586400
29,2024-04-05 11:14:39.245253200
30,2024-04-05 11:14:39.311920000
31,2024-04-05 11:14:39.378586800
32,2024-04-05 11:14:39.445253600
33,2024-04-05 11:14:39.511920400
34,2024-04-05 11:14:39.578587200
35,2024-04-05 11:14:39.645254000
36,2024-04-05 11:14:39.711920800
37,2024-04-05 11:14:39.778587600
38,2024-04-05 11:14:39.845254400
39,2024-04-05 11:14:39.911921200
40,2024-04-05 11:14:39.978588000
41,2024-04-05 11:14:40.045254800
42,2024-04-05 11:14:40.111921600
43,2024-04-05 11:14:40.178588400
44,2024-04-05 11:14:40.245255200
45,2024-04-05 11:14:40.311922000
46,2024-04-05 11:14:40.378588800
47,2024-04-05 11:14:40.445255600
48,2024-04-05 11:14:40.511922400
49,2024-04-05 11:14:40.578589200
50,2024-04-05 11:14:40.645256000
51,2024-04-05 11:14:40.711922800
52,2024-04-05 11:14:40.778589600
53,2024-04-05 11:14:40.845256400
54,2024-04-05 11:14:40.911923200
55,2024-04-05 11:14:40.978590000
56,2024-04-05 11:14:41.045256800
57,2024-04-05 11:14:41.111923600
58,2024-04-05 11:14:41.178590400
59,2024-04-05 11:14:41.245257200
60,2024-04-05 11:14:41.311924000
61,2024-04-05 11:14:41.378590800
62,2024-04-05 11:14:41.445257600
63,2024-04-05 09:09:48.145726700
64,2024-04-05 11:14:41.578591200
65,2024-04-05 11:14:41.645258000
66,2024-04-05 11:14:41.711924800
67,2024-04-05 11:14:41.778591600
68,2024-04-05 11:14:41.845258400
69,2024-04-05 11:14:41.911925200
70,2024-04-05 11:14:41.978592000
71,2024-04-05 11:14:42.045258800
72,2024-04-05 11:14:42.111925600
73,2024-04-05 11:14:42.178592400
74,2024-04-05 11:14:42.245259200
75,2024-04-05 11:14:42.311926000
76,2024-04-05 11:14:42.378592800
77,2024-04-05 11:14:42.445259600
78,2024-04-05 11:14:42.511926400
79,2024-04-05 11:14:42.578593200
80,2024-04-05 11:14:42.645260000
81,2024-04-05 11:14:42.711926800
82,2024-04-05 11:14:42.778593600
83,2024-04-05 11:14:42.845260400
84,2024-04-05 11:14:42.911927200
85,2024-04-05 11:14:42.978594000
86,2024-04-05 11:14:43.045260800
87,2024-04-05 11:14:43.111927600
88,2024-04-05 11:14:43.178594400
89,2024-04-05 11:14:43.245261200
90,2024-04-05 11:14:43.311928000
91,2024-04-05 11:14:43.378594800
92,2024-04-05 11:14:43.445261600
93,2024-04-05 11:14:43.511928400
94,2024-04-05 11:14:43.578595200
95,2024-04-05 11:14:43.645262000
96,2024-04-05 11:14:43.711928800
97,2024-04-05 11:14:43.778595600
98,2024-04-05 11:14:43.845262400
99,2024-04-05 11:14:43.911929200
100,2024-04-05 11:14:43.978596000
101,2024-04-05 11:14:44.045262800
102,2024-04-05 11:14:44.111929600
103,2024-04-05 11:14:44.178596400
104,2024-04-05 11:14:44.245263200
105,2024-04-05 11:14:44.311930000
106,2024-04-05 11:14:44.378596800
107,2024-04-05 11:14:44.445263600
108,2024-04-05 11:14:44.511930400
109,2024-04-05 11:14:44.578597200
110,2024-04-05 11:14:44.645264000
111,2024-04-05 11:14:44.711930800
112,2024-04-05 11:14:44.778597600
